question_id,category_id,subject_id,topic_id,difficulty,pyq,time_required,question_type,question_content,solution,external_reference,creation_date,modification_date,created_by,modified_by,image_url
100,1,3,1007,advance,true,100,multiple_choice,"{""image_url"": ""https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766844569632.png"", ""statement"": """"}",,,2025-12-27 14:09:26.736909,2025-12-27 14:09:26.736909,,,https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766844569632.png
101,3,2,997,easy,false,,multiple_choice,"{""image_url"": ""https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850267934.png"", ""statement"": """"}",,,2025-12-27 15:44:30.320602,2025-12-27 15:44:30.320602,,,https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850267934.png
102,1,2,989,easy,false,,multiple_choice,"{""image_url"": ""https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850347950.png"", ""statement"": """"}",,,2025-12-27 15:45:49.674452,2025-12-27 15:45:49.674452,,,https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850347950.png
103,1,2,1001,medium,false,,multiple_choice,"{""image_url"": ""https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850389238.png"", ""statement"": """"}",,,2025-12-27 15:46:31.039285,2025-12-27 15:46:31.039285,,,https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850389238.png
104,1,2,1001,medium,false,,multiple_choice,"{""image_url"": ""https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850432414.png"", ""statement"": """"}",,,2025-12-27 15:47:14.346416,2025-12-27 15:47:14.346416,,,https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850432414.png
105,3,2,983,medium,false,,multiple_choice,"{""image_url"": ""https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850495302.png"", ""statement"": """"}",,,2025-12-27 15:48:16.952981,2025-12-27 15:48:16.952981,,,https://xpnumkufrnrjensmgost.supabase.co/storage/v1/object/public/question-images/questions/1766850495302.png
